config_id,bundle_id,slot_in_bundle,outer_time_weighting,head_time_weighting,rep_weight,lr_score_head,score_head_loss_w,T_terminal,epochs,refine_epochs,eval_every,eval_samples,cfg_strength,result_name
105,17,3,canonical,canonical,0.4,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_105_oc_hc_lam0p40_lr2em04
106,17,4,canonical,canonical,0.6,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_106_oc_hc_lam0p60_lr2em04
107,17,5,canonical,canonical,1,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_107_oc_hc_lam1p00_lr2em04
108,18,0,canonical,canonical,0.05,0.0004,1.0,1.50,120,0,60,2000,3.0,cfg_108_oc_hc_lam0p05_lr4em04
109,18,1,canonical,canonical,0.1,0.0004,1.0,1.50,120,0,60,2000,3.0,cfg_109_oc_hc_lam0p10_lr4em04
110,18,2,canonical,canonical,0.2,0.0004,1.0,1.50,120,0,60,2000,3.0,cfg_110_oc_hc_lam0p20_lr4em04
111,18,3,canonical,canonical,0.4,0.0004,1.0,1.50,120,0,60,2000,3.0,cfg_111_oc_hc_lam0p40_lr4em04
112,18,4,canonical,canonical,0.6,0.0004,1.0,1.50,120,0,60,2000,3.0,cfg_112_oc_hc_lam0p60_lr4em04
113,18,5,canonical,canonical,1,0.0004,1.0,1.50,120,0,60,2000,3.0,cfg_113_oc_hc_lam1p00_lr4em04
114,19,0,canonical,canonical,0.05,0.0008,1.0,1.50,120,0,60,2000,3.0,cfg_114_oc_hc_lam0p05_lr8em04
115,19,1,canonical,canonical,0.1,0.0008,1.0,1.50,120,0,60,2000,3.0,cfg_115_oc_hc_lam0p10_lr8em04
116,19,2,canonical,canonical,0.2,0.0008,1.0,1.50,120,0,60,2000,3.0,cfg_116_oc_hc_lam0p20_lr8em04
117,19,3,canonical,canonical,0.4,0.0008,1.0,1.50,120,0,60,2000,3.0,cfg_117_oc_hc_lam0p40_lr8em04
118,19,4,canonical,canonical,0.6,0.0008,1.0,1.50,120,0,60,2000,3.0,cfg_118_oc_hc_lam0p60_lr8em04
119,19,5,canonical,canonical,1,0.0008,1.0,1.50,120,0,60,2000,3.0,cfg_119_oc_hc_lam1p00_lr8em04
